sno,dvcat,weight,Survived,airbag,seatbelt,frontal,sex,ageOFocc,yearacc,yearVeh,abcat,occRole,deploy,injSeverity,caseid
2352,24-Oct,174.235,survived,airbag,belted,1,m,48,2001,1994,deploy,driver,1,0,2:13:02
2353,24-Oct,635.05,survived,none,belted,1,m,17,2001,1989,unavail,driver,0,0,2:14:02
2354,24-Oct,635.05,survived,none,belted,1,f,16,2001,1989,unavail,pass,0,1,2:14:02
2355,40-54,69.484,survived,airbag,belted,0,m,39,2001,1995,nodeploy,driver,0,3,2:15:01
2356,25-39,65.584,survived,none,none,1,m,27,2001,1990,unavail,driver,0,1,2:16:01
2357,24-Oct,65.584,survived,none,none,0,m,16,2001,1992,unavail,driver,0,3,2:16:02
2358,25-39,69.484,survived,airbag,belted,0,m,60,2001,1996,nodeploy,driver,0,3,2:18:01
2359,24-Oct,69.484,survived,airbag,belted,1,m,73,2001,1993,deploy,driver,1,1,2:18:02
2360,25-39,26.371,Not_Survived,airbag,none,0,m,73,2001,1995,deploy,driver,1,4,2:19:01
2361,24-Oct,3921.745,survived,airbag,belted,1,f,24,2001,2000,nodeploy,driver,0,0,2:20:02
2362,24-Oct,3921.745,survived,airbag,belted,1,m,30,2001,2000,nodeploy,pass,0,0,2:20:02
2363,24-Oct,83.508,survived,airbag,none,1,m,38,2001,1998,deploy,driver,1,3,2:21:01
2364,1-9km/h,83.508,survived,none,belted,0,m,40,2001,1992,unavail,driver,0,0,2:21:02
2365,1-9km/h,83.508,survived,none,belted,0,m,26,2001,1992,unavail,pass,0,0,2:21:02
2366,25-39,82.594,survived,airbag,none,1,m,17,2001,1995,deploy,driver,1,1,2:22:01
2367,40-54,82.594,survived,none,none,1,f,18,2001,1988,unavail,driver,0,1,2:22:02
2368,40-54,82.594,survived,none,belted,1,m,25,2001,1988,unavail,pass,0,1,2:22:02
2369,25-39,82.594,survived,none,belted,0,m,21,2001,1993,unavail,driver,0,3,2:23:01
2370,25-39,82.594,survived,none,belted,0,m,17,2001,1993,unavail,pass,0,0,2:23:01
2371,24-Oct,53.485,survived,airbag,belted,1,f,52,2001,1996,deploy,driver,1,1,2:24:01
2372,24-Oct,53.485,survived,airbag,belted,0,m,64,2001,2000,deploy,driver,1,1,2:24:02
2373,24-Oct,53.485,survived,airbag,belted,0,f,78,2001,2000,deploy,pass,1,1,2:24:02
2374,25-39,108.487,survived,none,none,1,m,49,2001,1993,unavail,driver,0,3,2:25:01
2375,25-39,108.487,survived,none,none,1,f,46,2001,1993,unavail,pass,0,3,2:25:01
2376,24-Oct,291.466,survived,airbag,belted,0,f,26,2001,1995,nodeploy,driver,0,1,2:28:01
2377,25-39,291.466,survived,none,belted,1,f,40,2001,1990,unavail,driver,0,1,2:28:02
2378,24-Oct,291.466,survived,none,belted,1,m,49,2001,1991,unavail,driver,0,1,2:28:03
2379,24-Oct,229.575,survived,none,belted,1,m,35,2001,1992,unavail,driver,0,0,2:33:01
2380,24-Oct,229.575,survived,none,belted,1,f,47,2001,1992,unavail,pass,0,1,2:33:01
2381,24-Oct,229.575,survived,none,belted,0,f,17,2001,1989,unavail,driver,0,0,2:33:02
2382,24-Oct,229.575,survived,none,belted,0,m,17,2001,1989,unavail,pass,0,0,2:33:02
2383,24-Oct,380.56,survived,airbag,belted,1,m,45,2001,2000,nodeploy,driver,0,0,2:34:02
2384,24-Oct,1082.476,survived,none,belted,1,m,19,2001,1984,unavail,driver,0,0,2:35:01
2385,25-39,65.114,survived,airbag,belted,1,f,50,2001,1998,deploy,driver,1,1,2:36:02
2386,25-39,65.114,survived,airbag,belted,1,f,28,2001,1998,deploy,pass,1,1,2:36:02
2387,24-Oct,237.325,survived,airbag,belted,1,f,47,2001,1997,deploy,driver,1,1,2:37:02
2388,24-Oct,1119.021,survived,none,belted,0,f,38,2001,1989,unavail,driver,0,0,2:38:01
2389,24-Oct,1119.021,survived,airbag,belted,1,f,17,2001,1992,deploy,driver,1,0,2:38:02
2390,24-Oct,1119.021,survived,none,none,1,f,19,2001,1992,unavail,pass,0,0,2:38:02
2391,24-Oct,411.064,survived,airbag,none,1,f,17,2001,1990,deploy,driver,1,1,2:41:02
2392,24-Oct,411.064,survived,none,none,1,f,17,2001,1990,unavail,pass,0,1,2:41:02
2393,1-9km/h,45.917,survived,airbag,belted,1,m,45,2001,1999,nodeploy,driver,0,3,2:42:01
2394,24-Oct,65.68,survived,airbag,belted,0,m,21,2001,1996,nodeploy,driver,0,1,2:43:01
2395,24-Oct,65.68,survived,airbag,belted,0,f,23,2001,1996,nodeploy,pass,0,1,2:43:01
2396,24-Oct,65.68,survived,airbag,belted,1,f,17,2001,1999,deploy,driver,1,5,2:43:02
2397,24-Oct,65.68,survived,airbag,belted,1,m,29,2001,1999,deploy,pass,1,0,2:43:02
2398,24-Oct,1495.674,survived,airbag,belted,1,m,19,2001,1997,deploy,driver,1,0,2:46:01
2399,25-39,70.81,survived,airbag,belted,1,f,49,2001,1998,deploy,driver,1,1,2:48:01
2400,24-Oct,70.81,survived,airbag,belted,1,m,43,2001,1996,deploy,driver,1,2,2:48:02
2401,24-Oct,69.484,survived,none,belted,1,f,19,2001,1992,unavail,driver,0,2,2:50:01
2402,24-Oct,69.484,survived,none,belted,1,f,16,2001,1992,unavail,pass,0,2,2:50:01
2403,24-Oct,69.484,survived,airbag,belted,0,m,80,2001,1993,deploy,driver,1,2,2:50:02
2404,25-39,116.553,survived,airbag,belted,1,f,80,2001,1998,deploy,driver,1,1,2:51:01
2405,25-39,116.553,survived,airbag,belted,1,m,75,2001,1998,deploy,pass,1,1,2:51:01
2406,25-39,116.553,survived,airbag,none,0,f,27,2001,1995,nodeploy,driver,0,1,2:51:02
2407,25-39,25.229,survived,airbag,belted,1,m,40,2001,2001,deploy,driver,1,3,2:53:01
2408,24-Oct,25.229,survived,airbag,belted,1,f,40,2001,1996,deploy,driver,1,2,2:53:02
2409,24-Oct,108.487,survived,none,none,1,m,25,2001,1987,unavail,driver,0,3,2:54:01
2410,24-Oct,74.563,survived,airbag,none,1,m,60,2001,2001,nodeploy,driver,0,3,2:57:02
2411,24-Oct,271.764,survived,airbag,belted,0,f,25,2001,1995,deploy,driver,1,1,2:58:01
2412,24-Oct,271.764,survived,none,belted,1,f,82,2001,1990,unavail,driver,0,0,2:58:02
2413,24-Oct,1200.38,survived,airbag,belted,1,m,42,2001,1994,nodeploy,driver,0,0,0.125717593
2414,24-Oct,61.427,survived,none,belted,1,m,33,2001,1992,unavail,driver,0,0,0.126400463
2415,24-Oct,61.427,survived,airbag,belted,1,f,28,2001,1999,nodeploy,driver,0,1,0.126412037
2416,1-9km/h,371.135,survived,none,belted,0,m,40,2001,2000,unavail,driver,0,0,0.127094907
2417,1-9km/h,371.135,survived,none,none,0,m,35,2001,2000,unavail,pass,0,0,0.127094907
2418,24-Oct,361.1,survived,airbag,belted,1,f,24,2001,2000,nodeploy,driver,0,0,0.129178241
2419,40-54,118.316,survived,none,belted,1,m,28,2001,1994,unavail,driver,0,5,0.13056713
2420,24-Oct,196.129,survived,airbag,belted,1,m,17,2001,1999,nodeploy,driver,0,0,0.131261574
2421,25-39,1541.488,survived,none,belted,1,m,23,2001,1987,unavail,driver,0,3,0.134733796
2422,40-54,59.652,survived,airbag,belted,1,m,27,2001,1999,deploy,driver,1,1,0.137511574
2423,25-39,59.652,survived,none,belted,1,m,42,2001,1990,unavail,driver,0,3,0.137523148
2424,24-Oct,189.876,survived,none,belted,1,m,29,2001,1980,unavail,driver,0,3,0.138206019
2425,24-Oct,189.876,survived,none,belted,1,f,21,2001,1980,unavail,pass,0,1,0.138206019
2426,24-Oct,200.609,survived,airbag,belted,1,m,35,2001,1995,deploy,driver,1,2,0.139606481
2427,24-Oct,902.062,survived,none,belted,1,m,76,2001,1992,unavail,driver,0,5,0.140983796
2428,24-Oct,902.062,survived,none,belted,1,f,77,2001,1992,unavail,pass,0,5,0.140983796
2429,24-Oct,118.241,survived,none,belted,1,m,31,2001,1990,unavail,driver,0,0,0.143078704
2430,24-Oct,130.953,survived,none,belted,1,m,43,2001,1991,unavail,driver,0,1,0.143761574
2431,24-Oct,130.953,survived,airbag,belted,1,m,61,2001,2001,deploy,driver,1,1,0.143773148
2432,24-Oct,130.953,survived,airbag,belted,1,f,54,2001,2001,deploy,pass,1,1,0.143773148
2433,25-39,477.295,survived,none,belted,0,f,21,2001,1992,unavail,driver,0,1,0.144456019
2434,25-39,477.295,survived,none,belted,0,f,43,2001,1992,unavail,pass,0,1,0.144456019
2435,24-Oct,669.8,survived,airbag,belted,1,f,53,2001,1993,deploy,driver,1,0,0.147233796
2436,24-Oct,669.8,survived,none,belted,1,f,67,2001,1993,unavail,pass,0,2,0.147233796
2437,24-Oct,4787.917,survived,none,belted,1,m,21,2001,1992,unavail,driver,0,0,0.148622685
2438,24-Oct,4787.917,survived,none,belted,1,m,18,2001,1992,unavail,pass,0,0,0.148622685
2439,24-Oct,3614.345,survived,airbag,belted,1,f,27,2001,1996,nodeploy,driver,0,0,0.151400463
2440,24-Oct,43.857,survived,none,none,1,m,77,2001,1992,unavail,driver,0,3,0.152094907
2441,24-Oct,43.857,survived,none,belted,1,f,18,2001,1982,unavail,driver,0,1,0.152106481
2442,55+,69.484,survived,none,belted,1,m,43,2001,1988,unavail,driver,0,2,0.152789352
2443,55+,69.484,survived,none,belted,0,f,22,2001,1993,unavail,driver,0,3,0.152800926
2444,40-54,61.026,survived,none,none,1,m,19,2001,1989,unavail,driver,0,3,0.153483796
2445,24-Oct,61.026,survived,airbag,belted,0,m,46,2001,2000,deploy,driver,1,0,0.15349537
2446,24-Oct,61.026,survived,airbag,belted,0,f,42,2001,2000,deploy,pass,1,0,0.15349537
2447,25-39,80.356,Not_Survived,none,belted,1,f,49,2001,1991,unavail,driver,0,4,0.154872685
2448,24-Oct,80.356,survived,airbag,belted,1,m,32,2001,1999,deploy,driver,1,1,0.154884259
2449,40-54,54.405,Not_Survived,none,none,0,m,85,2001,1988,unavail,driver,0,4,0.156261574
2450,24-Oct,108.487,survived,airbag,none,1,f,29,2001,2002,deploy,driver,1,1,0.157650463
2451,25-39,108.487,survived,none,belted,0,m,18,2001,1985,unavail,driver,0,3,0.157662037
2452,24-Oct,1755.066,survived,airbag,belted,1,f,56,2001,2001,nodeploy,driver,0,1,0.158344907
2453,25-39,1755.066,survived,none,belted,0,m,39,2001,1986,unavail,driver,0,0,0.158356481
2454,40-54,261.231,survived,airbag,none,1,f,26,2001,1999,deploy,driver,1,1,0.159039352
2455,24-Oct,26.262,survived,airbag,belted,0,m,32,2001,2000,deploy,driver,1,2,0.160428241
2456,24-Oct,26.262,survived,airbag,none,0,f,34,2001,2000,deploy,pass,1,3,0.160428241
2457,24-Oct,77.37,survived,none,belted,1,f,19,2001,1988,unavail,driver,0,1,0.161122685
2458,24-Oct,77.37,survived,none,belted,1,f,18,2001,1988,unavail,pass,0,2,0.161122685
2459,25-39,746.743,survived,none,belted,1,f,20,2001,1990,unavail,driver,0,1,0.16181713
2460,25-39,746.743,survived,airbag,belted,0,f,43,2001,2001,nodeploy,driver,0,1,0.161828704
2461,24-Oct,270.135,survived,airbag,belted,0,f,36,2001,1990,nodeploy,driver,0,0,3:08:02
2462,24-Oct,510.428,survived,airbag,belted,1,m,40,2001,1997,nodeploy,driver,0,0,3:12:01
2463,24-Oct,1409.115,survived,airbag,belted,1,f,20,2001,1996,deploy,driver,1,0,3:18:02
2464,24-Oct,1409.115,survived,airbag,belted,1,m,21,2001,1996,deploy,pass,1,0,3:18:02
2465,24-Oct,710.152,survived,none,none,0,m,40,2001,1991,unavail,driver,0,1,3:31:01
2466,24-Oct,154.773,survived,airbag,belted,0,f,56,2001,1995,nodeploy,driver,0,0,3:38:01
2467,24-Oct,154.773,survived,airbag,belted,1,f,36,2001,1999,deploy,driver,1,1,3:38:02
2468,1-9km/h,435.389,survived,airbag,none,0,m,51,2001,1992,nodeploy,driver,0,1,3:40:01
2469,24-Oct,80.337,survived,airbag,none,0,m,22,2001,1993,deploy,driver,1,1,3:48:01
2470,40-54,34.535,survived,airbag,none,1,m,28,2001,1996,deploy,driver,1,3,3:51:01
2471,24-Oct,31.313,survived,none,belted,0,f,28,2001,1989,unavail,driver,0,1,3:52:01
2472,24-Oct,31.313,survived,airbag,none,1,m,27,2001,1999,nodeploy,driver,0,0,3:52:02
2473,24-Oct,31.313,survived,airbag,none,1,m,26,2001,1999,nodeploy,pass,0,3,3:52:02
2474,24-Oct,301.765,survived,airbag,belted,1,m,28,2001,2000,nodeploy,driver,0,0,0.169456019
2475,24-Oct,301.765,survived,airbag,belted,1,f,24,2001,2000,nodeploy,pass,0,0,0.169456019
2476,24-Oct,263.808,survived,airbag,belted,1,m,26,2001,1995,deploy,driver,1,0,0.171539352
2477,24-Oct,3579.556,survived,airbag,belted,1,m,46,2001,2001,nodeploy,driver,0,0,0.180578704
2478,24-Oct,573.614,survived,airbag,none,0,m,44,2001,1995,nodeploy,driver,0,1,0.181967593
2479,24-Oct,573.614,survived,airbag,none,0,f,32,2001,1995,nodeploy,pass,0,0,0.181967593
2480,24-Oct,417.909,survived,airbag,none,0,m,29,2001,1992,nodeploy,driver,0,1,0.185439815
2481,24-Oct,417.909,survived,airbag,none,0,m,23,2001,1992,nodeploy,pass,0,1,0.185439815
2482,24-Oct,113.195,survived,airbag,none,0,m,18,2001,2001,deploy,driver,1,2,0.188217593
2483,25-39,239.873,survived,airbag,belted,0,m,76,2001,1998,nodeploy,driver,0,1,0.190983796
2484,24-Oct,29.455,Not_Survived,airbag,none,0,m,26,2001,2002,deploy,driver,1,4,0.197928241
2485,24-Oct,39.358,survived,airbag,belted,1,m,53,2001,1997,nodeploy,driver,0,0,4:01:01
2486,25-39,39.358,survived,airbag,belted,0,f,31,2001,2000,deploy,driver,1,3,4:01:02
2487,25-39,39.358,survived,none,none,0,m,17,2001,1990,unavail,driver,0,3,4:01:03
2488,1-9km/h,1226.966,survived,airbag,belted,1,f,64,2001,2000,nodeploy,driver,0,0,4:03:01
2489,40-54,365.917,survived,none,belted,1,f,17,2001,1984,unavail,driver,0,1,4:04:01
2490,24-Oct,4576.024,survived,airbag,belted,1,m,18,2001,2000,nodeploy,driver,0,0,4:06:02
2491,25-39,67.592,survived,none,belted,1,m,37,2001,1990,unavail,driver,0,3,4:08:01
2492,24-Oct,67.592,survived,none,belted,1,m,29,2001,1988,unavail,driver,0,0,4:08:02
2493,24-Oct,160.282,survived,airbag,belted,1,f,53,2001,1999,nodeploy,driver,0,0,4:10:02
2494,24-Oct,265.696,survived,airbag,belted,0,m,35,2001,1999,nodeploy,driver,0,0,4:11:01
2495,24-Oct,265.696,survived,none,belted,1,m,21,2001,1985,unavail,pass,0,0,4:11:02
2496,24-Oct,33.673,survived,none,belted,1,f,60,2001,1991,unavail,driver,0,3,4:12:01
2497,25-39,16.189,survived,none,none,1,m,45,2001,1990,unavail,driver,0,3,4:21:01
2498,40-54,16.189,survived,airbag,belted,1,m,35,2001,1995,deploy,driver,1,1,4:21:02
2499,24-Oct,297.386,survived,airbag,belted,1,m,16,2001,1995,deploy,driver,1,1,4:22:02
2500,24-Oct,297.386,survived,airbag,belted,1,m,44,2001,1995,deploy,pass,1,0,4:22:02
2501,24-Oct,1402.215,survived,none,belted,1,f,29,2001,1993,unavail,driver,0,0,4:23:01
2502,24-Oct,1314.794,survived,none,belted,0,f,41,2001,1989,unavail,driver,0,0,4:26:01
2503,24-Oct,13.025,survived,airbag,belted,1,f,68,2001,1995,deploy,driver,1,4,4:27:01
2504,24-Oct,12.461,survived,airbag,belted,0,m,42,2001,1995,nodeploy,driver,0,2,4:28:02
2505,24-Oct,3722.638,survived,none,belted,0,f,61,2001,1985,unavail,driver,0,1,4:29:04
2506,25-39,16.189,survived,none,belted,0,f,54,2001,1987,unavail,driver,0,3,4:30:01
2507,24-Oct,607.056,survived,airbag,belted,1,f,58,2001,1999,nodeploy,driver,0,0,4:31:02
2508,24-Oct,1726.73,survived,airbag,belted,1,f,45,2001,1993,deploy,driver,1,0,4:32:02
2509,25-39,44.228,survived,airbag,belted,0,f,30,2001,1997,nodeploy,driver,0,2,4:33:02
2510,24-Oct,78.545,survived,airbag,belted,1,m,20,2001,1998,deploy,driver,1,1,4:34:01
2511,24-Oct,78.545,survived,airbag,belted,1,f,17,2001,1998,deploy,pass,1,1,4:34:01
2512,24-Oct,78.545,survived,airbag,belted,1,m,72,2001,2000,deploy,driver,1,1,4:34:02
2513,24-Oct,13.025,survived,none,belted,1,m,19,2001,1992,unavail,driver,0,5,4:36:01
2514,24-Oct,13.025,Not_Survived,airbag,none,0,m,55,2001,2001,deploy,driver,1,4,4:36:02
2515,24-Oct,254.067,survived,airbag,none,0,f,21,2001,1995,deploy,driver,1,2,4:37:01
2516,55+,268.632,survived,airbag,belted,1,m,21,2001,1994,nodeploy,driver,0,2,4:40:01
2517,24-Oct,18.464,survived,none,none,0,m,35,2001,1987,unavail,driver,0,1,4:43:01
2518,25-39,18.464,survived,airbag,none,1,f,17,2001,1994,deploy,driver,1,3,4:43:02
2519,24-Oct,336.367,survived,none,belted,0,m,79,2001,1990,unavail,driver,0,0,4:50:02
2520,24-Oct,336.367,survived,none,belted,0,f,79,2001,1990,unavail,pass,0,1,4:50:02
2521,24-Oct,1586.014,survived,airbag,none,0,f,38,2001,1994,nodeploy,driver,0,0,4:51:01
2522,24-Oct,13.025,survived,airbag,belted,1,m,36,2001,1999,deploy,driver,1,1,4:54:01
2523,25-39,13.025,survived,airbag,belted,0,m,76,2001,1995,deploy,driver,1,3,4:54:02
2524,25-39,13.025,Not_Survived,none,none,0,m,76,2001,1995,unavail,pass,0,4,4:54:02
2525,24-Oct,1246.491,survived,airbag,belted,1,f,27,2001,1997,deploy,driver,1,2,4:55:01
2526,24-Oct,1246.491,survived,airbag,belted,1,m,30,2001,1997,deploy,pass,1,1,4:55:01
2527,24-Oct,1246.491,survived,airbag,belted,1,f,33,2001,1998,nodeploy,driver,0,0,4:55:03
2528,55+,107.674,Not_Survived,airbag,none,1,f,40,2001,2000,deploy,driver,1,4,4:56:01
2529,24-Oct,3913.157,survived,airbag,belted,1,f,65,2001,1997,nodeploy,driver,0,0,4:58:02
2530,24-Oct,263.774,survived,airbag,belted,1,m,84,2001,1999,deploy,driver,1,1,4:59:01
2531,24-Oct,263.774,survived,airbag,belted,1,m,37,2001,2000,deploy,driver,1,1,4:59:02
2532,55+,56.42,Not_Survived,none,belted,0,f,19,2001,1990,unavail,driver,0,4,0.209039352
2533,55+,56.42,survived,none,belted,0,f,16,2001,1990,unavail,pass,0,3,0.209039352
2534,40-54,56.42,survived,airbag,none,1,m,61,2001,1993,deploy,driver,1,1,0.209074074
2535,40-54,56.42,survived,none,belted,1,f,58,2001,1993,unavail,pass,0,1,0.209074074
2536,24-Oct,649.655,survived,airbag,belted,0,f,37,2001,2000,nodeploy,driver,0,3,0.209733796
2537,24-Oct,751.072,survived,none,belted,0,m,30,2001,1992,unavail,driver,0,1,0.210428241
2538,55+,16.035,survived,airbag,none,1,m,60,2001,1998,deploy,driver,1,3,0.21181713
2539,55+,16.035,survived,airbag,none,1,m,31,2001,2000,deploy,driver,1,3,0.211828704
2540,55+,16.035,survived,airbag,none,1,f,31,2001,2000,deploy,pass,1,3,0.211828704
2541,24-Oct,64.906,survived,airbag,belted,1,f,71,2001,1995,deploy,driver,1,3,0.213206019
2542,40-54,71.308,survived,none,belted,0,f,25,2001,1995,unavail,driver,0,3,0.213912037
2543,25-39,51.079,survived,airbag,belted,1,m,17,2001,1996,deploy,driver,1,0,0.215983796
2544,25-39,51.079,survived,airbag,belted,1,m,16,2001,1996,deploy,pass,1,0,0.215983796
2545,40-54,51.079,survived,airbag,belted,1,f,38,2001,1994,deploy,driver,1,3,0.21599537
2546,25-39,134.34,survived,airbag,none,1,m,75,2001,2001,deploy,driver,1,1,0.217372685
2547,25-39,134.34,survived,airbag,belted,0,f,40,2001,1998,nodeploy,driver,0,3,0.217384259
2548,24-Oct,76.346,survived,airbag,belted,0,m,72,2001,1999,nodeploy,driver,0,0,0.218761574
2549,24-Oct,76.346,survived,airbag,belted,0,f,72,2001,1999,nodeploy,pass,0,0,0.218761574
2550,24-Oct,76.346,survived,none,belted,1,f,85,2001,1991,unavail,driver,0,3,0.218773148
2551,24-Oct,257.538,survived,airbag,none,1,f,75,2001,1994,deploy,driver,1,3,0.219456019
2552,24-Oct,257.538,survived,airbag,none,1,f,41,2001,1994,deploy,pass,1,3,0.219456019
2553,25-39,257.538,survived,airbag,none,0,f,37,2001,1991,nodeploy,driver,0,3,0.219467593
2554,25-39,16.189,survived,airbag,belted,0,m,17,2001,1995,deploy,driver,1,1,0.222928241
2555,24-Oct,122.359,survived,none,belted,1,m,17,2001,1989,unavail,driver,0,0,0.223622685
2556,24-Oct,122.359,survived,airbag,belted,0,m,65,2001,2000,nodeploy,driver,0,0,0.223634259
2557,24-Oct,122.359,survived,airbag,belted,0,f,91,2001,2000,nodeploy,pass,0,2,0.223634259
2558,24-Oct,50.701,survived,airbag,belted,0,m,52,2001,2001,nodeploy,driver,0,2,0.22431713
2559,24-Oct,184.794,survived,airbag,belted,0,f,28,2001,1993,nodeploy,driver,0,2,0.225011574
2560,24-Oct,184.794,survived,airbag,belted,1,f,23,2001,1997,deploy,driver,1,0,0.225023148
2561,24-Oct,306.328,survived,airbag,belted,1,m,21,2001,2000,deploy,driver,1,0,0.226412037
2562,25-39,61.927,survived,none,belted,1,f,62,2001,1986,unavail,driver,0,1,0.227789352
2563,25-39,61.927,survived,airbag,belted,1,f,17,2001,2001,deploy,driver,1,1,0.227800926
2564,24-Oct,374.156,survived,airbag,belted,1,f,32,2001,1999,nodeploy,driver,0,0,0.229178241
2565,24-Oct,1064.26,survived,airbag,belted,1,m,18,2001,1993,nodeploy,driver,0,0,0.229884259
2566,24-Oct,1064.26,survived,airbag,belted,1,m,17,2001,1993,nodeploy,pass,0,0,0.229884259
2567,25-39,28.288,survived,airbag,belted,0,m,17,2001,2001,nodeploy,driver,0,3,0.23056713
2568,25-39,28.288,survived,airbag,belted,0,m,16,2001,2001,nodeploy,pass,0,3,0.23056713
2569,25-39,58.344,survived,airbag,belted,1,m,47,2001,1994,deploy,driver,1,3,0.231956019
2570,24-Oct,0,survived,airbag,belted,1,m,31,2001,2000,deploy,driver,1,1,0.515983796
2571,24-Oct,0,survived,airbag,belted,1,m,29,2001,2000,nodeploy,driver,0,0,0.516689815
2572,24-Oct,0,survived,airbag,belted,1,f,34,2001,2000,nodeploy,pass,0,0,0.516689815
2573,25-39,38.284,survived,airbag,belted,1,m,37,2001,2000,nodeploy,driver,0,3,5:01:01
2574,40-54,335.839,survived,airbag,belted,1,f,31,2001,1998,deploy,driver,1,1,5:02:02
2575,24-Oct,38.705,survived,airbag,belted,1,f,80,2001,1995,deploy,driver,1,3,5:09:02
2576,24-Oct,613.798,survived,none,belted,0,f,65,2001,1990,unavail,driver,0,0,5:10:01
2577,24-Oct,613.798,survived,none,none,1,f,20,2001,1990,unavail,driver,0,1,5:10:02
2578,25-39,269.917,survived,airbag,none,1,m,23,2001,1997,deploy,driver,1,3,5:13:01
2579,24-Oct,2856.016,survived,none,none,1,m,56,2001,1992,unavail,driver,0,0,5:15:01
2580,24-Oct,106.289,survived,airbag,belted,1,m,29,2001,1996,nodeploy,driver,0,0,5:16:01
2581,25-39,106.289,survived,airbag,none,0,m,67,2001,1996,deploy,driver,1,2,5:16:02
2582,25-39,106.289,Not_Survived,airbag,belted,0,f,67,2001,1996,deploy,pass,1,4,5:16:02
2583,25-39,87.565,survived,airbag,belted,1,m,30,2001,1995,deploy,driver,1,1,5:22:02
2584,24-Oct,1764.883,survived,airbag,belted,0,f,19,2001,1991,deploy,driver,1,0,5:24:01
2585,24-Oct,1764.883,survived,airbag,none,1,f,27,2001,2001,nodeploy,driver,0,0,5:24:02
2586,24-Oct,1764.883,survived,none,none,1,f,52,2001,2001,unavail,pass,0,0,5:24:02
2587,24-Oct,770.091,survived,airbag,belted,0,m,73,2001,1995,nodeploy,driver,0,1,5:25:02
2588,24-Oct,770.091,survived,airbag,belted,0,m,41,2001,1995,nodeploy,pass,0,0,5:25:02
2589,24-Oct,31.96,survived,airbag,none,1,f,40,2001,2001,deploy,driver,1,0,5:28:01
2590,24-Oct,31.96,survived,airbag,none,1,m,35,2001,2001,deploy,pass,1,3,5:28:01
2591,24-Oct,30.091,survived,airbag,belted,1,m,19,2001,1990,deploy,driver,1,0,5:29:02
2592,24-Oct,719.697,survived,airbag,belted,1,m,73,2001,2000,deploy,driver,1,1,5:30:01
2593,40-54,95.24,survived,airbag,belted,1,m,19,2001,1998,deploy,driver,1,3,5:32:01
2594,40-54,95.24,survived,none,belted,1,m,46,2001,1990,unavail,driver,0,3,5:32:02
2595,25-39,334.865,survived,airbag,belted,0,f,65,2001,1997,nodeploy,driver,0,1,5:33:02
2596,25-39,790.23,survived,none,belted,1,m,19,2001,1991,unavail,driver,0,0,5:35:02
2597,25-39,790.23,survived,none,belted,1,f,20,2001,1991,unavail,pass,0,2,5:35:02
2598,55+,31.96,survived,airbag,belted,1,m,57,2001,1999,deploy,driver,1,3,5:37:01
2599,24-Oct,1171.491,survived,none,none,0,m,19,2001,1987,unavail,driver,0,0,5:38:02
2600,24-Oct,1171.491,survived,none,belted,0,m,18,2001,1987,unavail,pass,0,1,5:38:02
2601,25-39,87.565,survived,airbag,belted,1,f,74,2001,1996,deploy,driver,1,0,5:40:01
2602,25-39,87.565,survived,none,none,1,m,29,2001,1988,unavail,driver,0,3,5:40:02
2603,24-Oct,738.793,survived,none,belted,0,m,51,2001,1993,unavail,driver,0,0,5:42:02
2604,55+,76.182,Not_Survived,airbag,none,1,m,51,2001,2000,deploy,driver,1,3,5:46:01
2605,24-Oct,790.954,survived,airbag,belted,0,f,40,2001,1995,deploy,driver,1,1,5:47:02
2606,24-Oct,1773.347,survived,none,belted,1,f,50,2001,1986,unavail,driver,0,0,5:48:01
2607,24-Oct,411.07,survived,airbag,belted,1,f,44,2001,1993,nodeploy,driver,0,0,5:49:01
2608,25-39,921.633,survived,airbag,belted,1,m,20,2001,1997,deploy,driver,1,0,5:51:01
2609,25-39,921.633,survived,airbag,belted,1,m,17,2001,1997,deploy,pass,1,0,5:51:01
2610,24-Oct,921.633,survived,airbag,belted,1,f,63,2001,1995,deploy,driver,1,0,5:52:02
2611,40-54,222.301,survived,airbag,belted,1,f,49,2001,1998,deploy,driver,1,5,5:53:01
2612,40-54,222.301,survived,airbag,belted,1,f,19,2001,1992,deploy,driver,1,5,5:53:02
2613,24-Oct,445.19,survived,none,belted,0,m,32,2001,1985,unavail,driver,0,1,5:54:02
2614,24-Oct,998.132,survived,airbag,belted,1,m,17,2001,1993,deploy,driver,1,0,5:55:02
2615,24-Oct,998.132,survived,airbag,belted,1,m,17,2001,1993,deploy,pass,1,0,5:55:02
2616,24-Oct,211.178,survived,airbag,belted,1,f,68,2001,1999,nodeploy,driver,0,2,5:57:01
2617,25-39,468.798,survived,none,belted,1,m,19,2001,1991,unavail,driver,0,1,0.250011574
2618,25-39,35.026,survived,airbag,none,1,m,38,2001,1996,deploy,driver,1,3,0.250706019
2619,25-39,35.026,survived,airbag,none,1,m,30,2001,2000,deploy,driver,1,1,0.250717593
2620,25-39,35.026,survived,airbag,none,1,f,46,2001,2000,deploy,pass,1,1,0.250717593
2621,24-Oct,157.895,survived,airbag,belted,0,f,75,2001,1998,nodeploy,driver,0,,0.251412037
2622,24-Oct,157.895,survived,airbag,belted,1,f,56,2001,2000,nodeploy,driver,0,0,0.251423611
2623,24-Oct,157.895,survived,airbag,belted,1,f,83,2001,2000,nodeploy,pass,0,0,0.251423611
